2023-12-20 13:53:26,236 - INFO - No candidates found for query: https://www.google.com/maps/search/Sar%C4%B1k%C4%B1l%C4%B1%C3%A7+Hukuk+B%C3%BCrosu/@41.0406882,28.9021086?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:26,324 - INFO - No candidates found for query: https://www.google.com/maps/search/Altay+Hukuk+B%C3%BCrosu+Av.G%C3%BCl+Altay/@41.0656562,28.995176999999998?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:26,598 - INFO - No candidates found for query: https://www.google.com/maps/search/Ada+ve+Ada+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.9982958,29.034982399999997?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:27,143 - INFO - No candidates found for query: https://www.google.com/maps/search/At%C3%A7eken-%C3%96cal+Avukatl%C4%B1k+Ortakl%C4%B1%C4%9F%C4%B1+-+AOAO+LAW+FIRM/@41.034095699999995,28.9768132?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:27,241 - INFO - No candidates found for query: https://www.google.com/maps/search/Mental+Avukatl%C4%B1k+Ofisi+%7C+Law+Office+%7C+Ata%C5%9Fehir-%C4%B0stanbul+%7C+%D9%85%D8%AD%D8%A7%D9%85%D9%8A%7C+%D9%85%D9%83%D8%AA%D8%A8+%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86/@40.9841218,29.1350459?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:27,558 - INFO - No candidates found for query: https://www.google.com/maps/search/Durmaz+Hukuk+B%C3%BCrosu+Sancaktepe+%7C+Avukat+Ey%C3%BCp+Durmaz/@41.0089626,29.241324999999996?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:27,689 - INFO - No candidates found for query: https://www.google.com/maps/search/%C3%87elik+Hukuk+Grubu/@40.99201,28.8339096?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:27,700 - INFO - No candidates found for query: https://www.google.com/maps/search/Kartal+13.Noterli%C4%9Fi/@40.891818199999996,29.191849599999998?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:27,900 - INFO - No candidates found for query: https://www.google.com/maps/search/Avukat+Halit+LA%C3%87%C4%B0N+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@40.9796468,28.722647?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:28,044 - INFO - No candidates found for query: https://www.google.com/maps/search/Portu+Legis+Law+Firm+and+Consultancy/@41.036311,28.989613?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:28,488 - INFO - No candidates found for query: https://www.google.com/maps/search/%C3%96z%C5%9Fen+Hukuk+B%C3%BCrosu/@40.9737084,29.054958?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:28,505 - INFO - No candidates found for query: https://www.google.com/maps/search/Do%C4%9Fan+%26+Partners+Law+Office/@41.080740999999996,29.015712399999998?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:28,572 - INFO - No candidates found for query: https://www.google.com/maps/search/Beylikd%C3%BCz%C3%BC+Terc%C3%BCme+B%C3%BCrosu/@41.007419,28.661189?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:28,736 - INFO - No candidates found for query: https://www.google.com/maps/search/F%C4%B1rat+S%C3%B6yle/@41.066285099999995,28.996914799999995?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:28,758 - INFO - No candidates found for query: https://www.google.com/maps/search/S.E.A.+LAW+GROUP/@40.9947466,29.0556524?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:28,930 - INFO - No candidates found for query: https://www.google.com/maps/search/%C3%96zkan+Hukuk+B%C3%BCrosu+-+Ozkan+Law+Office/@41.052683699999996,28.9921977?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:29,014 - INFO - No candidates found for query: https://www.google.com/maps/search/NOVA+HUKUK+VE+DANI%C5%9EMANLIK/@40.9876838,29.027922000000004?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:29,207 - INFO - No candidates found for query: https://www.google.com/maps/search/Bab+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0663469,28.9969505?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:29,742 - INFO - No candidates found for query: https://www.google.com/maps/search/G%C3%BCven+Yal%C4%B1m+Hukuk+Ve+Dayan%C4%B1%C5%9Fmanl%C4%B1k/@41.0006209,28.7976309?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:29,771 - INFO - No candidates found for query: https://www.google.com/maps/search/Avukat+Tolga+%C5%9Eahin+Hukuk+B%C3%BCrosu/@40.9101709,29.18162?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:29,844 - INFO - No candidates found for query: https://www.google.com/maps/search/Uka+Hukuk+B%C3%BCrosu/@41.070240299999995,29.0137854?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:30,321 - INFO - No candidates found for query: https://www.google.com/maps/search/Akba%C5%9F+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@41.0178134,29.0115662?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:30,455 - INFO - No candidates found for query: https://www.google.com/maps/search/ONUR+HUKUK+B%C3%9CROSU/@41.0690141,29.0044206?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:30,577 - INFO - No candidates found for query: https://www.google.com/maps/search/Akat+Hukuk+B%C3%BCrosu/@40.991203999999996,29.040008?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:30,710 - INFO - No candidates found for query: https://www.google.com/maps/search/%C4%B0nka+Hukuk+ve+Arabuluculuk+B%C3%BCrosu/@40.9112625,29.1801414?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
2023-12-20 13:53:31,218 - INFO - No candidates found for query: https://www.google.com/maps/search/Z%C4%B0RO%C4%9ELU+AVUKATLIK+B%C3%9CROSU/@41.066064,29.0075038?authuser=0&hl=tr&entry=ttu, Response: {'candidates': [], 'status': 'ZERO_RESULTS'}
